P20273	Q07108
P50914	Q96EY4
Q6N075	Q969S6
Q7Z2W9	Q92665
O43175	Q14974
P37058	P49675
P62306	Q9Y2W2
P26368	P26599
P68543	Q5VVQ6
P25786	Q3LI67
P48643	Q9UNE7
P35638	Q9BPX1
Q15370	Q8WVC0
P02655	Q6Q788
Q5T6L9	Q8TAM1
Q96EH3	Q96EH3
P27449	Q9NR28
O95628	Q5RKV6
P62875	Q9NVV9
Q96AX1	Q9P2Y5
Q99436	Q9UNM6
O15117	Q7Z5R6
P16435	Q7L1T6
P78537	Q9UL45
O15269	Q8NFR3
O60337	Q9BUN8
P61604	P61604
P53350	Q76N32
P51948	P61218
P18621	Q5JVS0
P05387	P13639
P07148	Q96EK6
P35268	Q9BYD1
O14880	Q16678
P10109	Q4G0S4
P61587	Q9Y281
P61221	Q969Q0
O14576	Q96FJ2
O00626	P16410
P11836	Q5TGU0
P33402	Q9BY32
P62875	Q9NWA0
P62891	Q8IYK2
Q8N5N7	Q9UI43
O15514	Q9NX70
O43143	Q9UHX1
O43920	Q8N4Q1
P22413	Q9UNQ0
Q0VD86	Q9NP55
B9A064	Q05315
Q8IVD9	Q8WVJ2
Q14154	Q9BQI3
Q9BXL8	Q9P2K6
P62263	Q9H8H0
Q8NCP5	Q9UNA4
P55789	P62072
P51398	Q9BYC9
O43752	Q9BV40
P62314	Q9Y5S9
O94906	Q9Y2W2
Q00403	Q17RN3
P11912	P17152
Q9BVS4	Q9UNQ2
Q7RTV0	Q8TBF4
P61218	Q92541
P35523	P35523
P61011	Q9NV31
P63208	Q07820
P80217	Q02543
O43612	O43614
P52435	Q13503
Q13515	Q9BXL8
O43529	Q9P2W7
O14777	O43663
O00567	P62081
Q8IVW4	Q99750
P52954	Q9BVG8
Q96DB2	Q9H211
O00487	Q9Y5K5
O00541	P57081
P61619	P62241
A4QMS7	P55273
P82921	Q13405
P10074	Q9Y5B8
P02675	P02760
Q92956	Q9UQF0
Q8TAE8	Q96EH3
P28329	Q8IV36
O00401	Q96RU3
O43633	Q86VN1
Q13610	Q8IWA0
Q4U2R6	Q9NQ50
P62318	Q9H6L4
P04637	Q99832
O95363	Q9ULR0
P13639	Q9UK97
P27701	P51580
Q8TAA3	Q99460
Q8TAE8	Q9NQ50
P14406	Q96IX5
O95183	Q5SQN1
O75586	Q12962
Q92551	Q92551
P14927	P30049
P55789	P99999
O95870	Q86VR2
P26373	Q9UKD2
Q8N2M4	Q9BXK5
O43824	Q8N5N7
Q8WWT9	Q96TC7
P17027	Q9BZW7
P17041	Q8NC24
P09326	P10747
P53803	Q9P086
Q02543	Q7Z417
P50454	Q99720
P12268	P22234
Q9NQZ2	Q9ULX3
P82933	Q9Y399
Q96FC7	Q96FC7
P55273	Q9NVL1
O95721	Q9Y2V7
O15235	Q9NYH9
O43242	P25963
P08621	Q13838
A8MQ03	Q96B97
Q3YBM2	Q3YBM2
Q01433	Q96P26
Q8IXS2	Q8NEP3
P51685	Q9Y258
O14561	Q96CM8
Q9H501	Q9NQZ2
P62424	Q8NA23
P08962	P11279
O60671	Q6WBX8
Q15370	Q6P1J9
Q9P0J6	Q9Y399
Q8N2H4	Q8NI22
P53803	Q9NVH2
Q99757	Q9UBB9
Q14656	Q3SXY8
Q93034	Q9Y574
A5YM72	Q8N4J0
O14744	Q63ZY3
P09564	Q8TCZ2
O76024	Q96EW2
P19113	P35367
Q13435	Q92917
O15372	P62847
O75414	Q9NZB8
Q9Y5U5	Q9Y6W8
O15287	Q9BTP7
P46778	Q9GZL7
Q08J23	Q8WTT2
P05231	P22352
P25788	Q9H8Y8
Q9NZT1	Q9P246
Q13094	Q92783
O75792	O75792
O95858	O95858
Q9HA77	Q9UGM6
O60504	P36406
Q9BUI4	Q9H063
O43395	P55081
O14757	Q9Y5N6
Q15397	Q9BYG3
O75381	P50542
Q30KQ7	Q30KQ9
O75934	Q8TAD8
O95202	Q96AQ8
P55010	P82912
O75940	Q9BWJ5
Q8IWA0	Q9NY93
O00560	Q8TA86
O43181	Q8TB37
P08962	P16070
Q6P1L8	Q9BYC9
P14784	Q96E93
P51398	Q9BYD3
O60759	Q99418
Q9H0M4	Q9H2W1
O15393	P11308
Q6FHJ7	Q6FHJ7
Q53FD0	Q8NA61
Q13901	Q9NV06
A2A2Y4	Q5VZY2
Q9NQ33	Q9Y5R4
O43678	P20674
Q8N539	Q8N539
Q8WV44	Q96Q35
P21917	P63211
P26373	Q9Y3T9
O75306	P40926
Q14197	Q9HA92
P12956	Q19AV6
Q96BM9	Q96EN8
Q9NQT5	Q9Y3A4
P61353	Q9GZL7
O43776	P23381
Q96BR6	Q9H6L4
O43502	P39748
P78556	Q96PD4
Q5R372	Q8TAL5
O00566	Q8TEA1
O76024	Q96N77
P36578	Q7L2H7
Q92466	Q9NV06
Q8IXW5	Q9NUG6
O95166	Q8WYN0
P42857	Q96LL3
O15213	Q06265
Q8N983	Q9BYD6
Q969X6	Q9BRU9
Q8TD10	Q96MY7
P49711	Q5VWG9
O43181	Q7Z6L0
Q8TC27	Q8TC27
O95231	Q96LW2
P01579	P19438
O43707	P50222
A0AVF1	Q9Y547
Q13868	Q15024
O14625	P46094
Q14807	Q99661
Q0VD86	Q6P5X5
O75409	Q53GS7
O00232	Q8N594
Q96BR9	Q9Y3B7
Q15645	Q6P9B6
P04179	P82675
O43674	P00395
Q14188	Q969R5
P21673	Q8NDB6
P35240	Q96A00
Q7Z699	Q8NA54
P61009	Q9UNL2
P10451	P50222
Q9H173	Q9Y3U8
P05161	Q99836
P33992	Q14181
Q9NRI5	Q9UNK9
O43677	P03923
Q8NFG4	Q9UHA4
O75380	O95139
Q53GS7	Q8IYD9
Q5W5X9	Q8N137
P13639	Q96G04
P82930	Q9BYD1
O75396	P49755
O75419	P35250
Q9BYR7	Q9NV39
Q15022	Q8WTS6
Q8N0U8	Q8N5K1
Q96EH3	Q96PZ0
Q13520	Q9NW97
P25786	Q9Y2D8
Q6QNY1	Q9H788
Q96MY7	Q9UJV3
P46778	Q9BYD3
Q8NEW7	Q8TDI7
P55072	Q13616
O95298	P22695
P34897	P49914
Q16594	Q96HR3
P10721	P24385
Q8WXA9	Q8WXA9
O95470	Q99726
Q14145	Q8IXQ5
P62913	Q5T653
O75489	P03891
P15509	Q969F0
Q53H12	Q9Y584
Q13573	Q92769
P62308	Q9BUQ8
O95243	Q9H2G9
P06400	P55210
P61247	P83731
O75489	P00846
P36957	Q96HY7
O00459	Q7Z699
Q13520	Q8N138
O14561	Q9Y697
O00487	P62191
P61218	Q8N7H5
O15235	P48047
Q09161	Q9BWJ5
P62847	Q86WX3
O14965	Q02241
O75414	Q9Y227
P01189	Q13064
P20042	P46777
O15455	P19525
P13010	Q96SD1
P32780	Q16514
P00540	Q9NSC5
P63244	Q8N9N8
P35227	Q9UJX3
H3BMG3	P61218
O76024	P15313
Q8WUW1	Q9NYB9
Q5JUK2	Q9Y5R4
P24863	Q9H204
P00747	P10145
Q7Z5P4	Q969Z0
Q3SXP7	Q3SXP7
O43633	Q8WUH2
O15533	Q12846
Q6P1L8	Q9BYD3
Q99459	Q9H2I8
P14373	Q9H8E8
Q0VD86	Q8TCJ2
P01344	P11362
Q9BZJ8	Q9NY35
P41214	P62263
O75419	P56282
P82673	Q14197
P50914	Q969Q0
Q16186	Q9UHD9
O14967	Q15029
Q09161	Q8NAV1
O95267	P47224
Q96AY2	Q99728
O14530	Q8N720
P61218	Q5TA45
P62854	Q9Y3B7
Q13563	Q8IY31
P04264	P14373
O15235	Q9Y6G3
Q8N4S9	Q8TAD4
Q86WV6	Q96HR9
P19447	Q14142
P32321	Q96EH3
P01732	P22301
P00966	P00966
Q08752	Q08752
P09564	Q8J025
Q8N1M1	Q8N1M1
Q13113	Q96CV9
P17931	P18627
P86478	P98175
P20273	P28908
O43809	Q9Y3Y2
O95299	P17568
Q8IWW8	Q969V6
P46199	P61247
Q96M63	Q9H1X1
P49821	Q5TEU4
Q5VZY2	Q9C0D9
Q03405	Q03405
P30990	Q9UHF0
O95456	P49406
P13686	Q13950
P28066	P50990
P15880	Q9HBH1
P14635	Q9UJX2
Q02297	Q02297
P49771	Q5T653
Q9UER7	Q9UJW9
Q9BY14	Q9NRD5
P62304	Q96RP9
Q13895	Q9BSC4
P78367	P78367
O95782	Q8NC96
P50991	P61604
P0CG48	Q9NRQ2
P32969	Q9UQ80
P68400	Q9H2G4
P25788	P25789
P82673	Q9NP92
O00574	P01730
P60468	P62249
O75821	O95831
P46937	Q969T9
B3EWG3	P31025
Q15628	Q9NYJ8
P18077	Q92901
P11597	P56589
Q7Z7B7	Q9H1M3
Q6IN84	Q9HD33
P49406	Q9BYD6
P52630	Q8IU57
O43463	Q9UIS9
P31153	Q9BRX2
O15342	P27449
Q8TE96	Q9Y221
P46781	Q13868
P03372	Q05086
P17861	P62899
O15130	P13473
P01189	P34998
Q13895	Q96EU6
P53350	Q8NHQ1
P05161	P39019
P54851	Q99732
P10747	Q13094
Q8TD86	Q9HBA0
P36954	Q8WX92
P00156	P00414
P55884	Q9BY44
P50616	Q17RY0
O00488	P35268
P21912	Q9Y6M9
O43310	Q09161
O14561	Q5VTY9
Q13061	Q16849
Q9BRG1	Q9Y3E7
Q9H0K4	Q9H0K4
P43897	Q9UII2
O95299	P03886
P61619	Q969V3
O75251	P00156
P43243	P51991
A0JLT2	Q5VWG9
O15235	Q96EY7
A6NHQ2	Q9NYH9
O75971	P78537
O00767	Q9UJ71
P52435	P62487
Q8NBZ0	Q9H981
O43670	P52272
P01730	P10145
Q9UI42	Q9UI42
Q63ZY3	Q9UBB9
P78345	Q9HCK5
A0A1B0GVN3	Q96LQ0
P03923	P08574
P05165	Q08426
O14653	Q9UNK0
P01584	Q9HB29
P49639	Q9H5F2
O95721	Q02833
P17542	P23769
Q15370	Q7L5N1
Q96BA8	Q9H2S6
Q9H4K1	Q9UL16
A1A5C7	P27352
P05113	Q6UWB1
P78371	Q5T6L9
P09661	P83876
P61011	Q6W5P4
P07602	Q8WY64
P42677	Q12834
Q14162	Q6ZUX7
P62314	Q9UNP9
Q8N966	Q8WXI8
Q64LD2	Q9ULR0
O75800	Q8WTW4
P01375	P21580
P61254	P82675
P01350	Q8TDT2
O43541	Q96PU5
Q13084	Q13405
O14964	P78537
Q96BW1	Q96NU7
P62847	P78345
P61221	P63220
A0AVK6	P04183
Q15398	Q56NI9
Q8IYA8	Q9HC98
P61218	P62750
O75379	Q86VR2
Q10587	Q13084
Q765I0	Q9UKP6
P32320	P43115
Q9BSY9	Q9HB07
O15504	Q9UKX7
Q9BSE4	Q9NUM3
P04233	Q9Y2X3
P12004	Q9NZD8
P07910	Q9C0B1
P82673	Q8NC60
Q9NRF2	Q9NRF2
P33992	Q08945
Q13438	Q92611
Q68G75	Q96PL5
O15213	P46782
Q8TED1	Q92982
Q9BZG8	Q9BZG8
Q8TCX1	Q8WW35
O95954	Q96RQ9
P20062	Q9BXJ7
P02654	P02654
P47813	P62857
P51608	P61278
P78556	Q99731
P08034	Q9Y2Y6
A8MQ03	P50539
P49917	Q9UQ84
O00526	P12314
P16455	P60484
P01584	Q9BZS1
O75478	Q9UBP6
P42575	Q9NR28
P28799	Q5T7P3
P61925	Q96FJ2
P01106	P19338
Q8N5N7	Q9Y2R5
P36406	Q96N21
P01730	P40933
O95049	Q9Y624
P09919	P28072
P46782	Q6W5P4
P61513	Q9GZL7
P47813	Q9HA92
P39019	Q5QJE6
P85299	Q96B36
P62917	Q99558
P01583	Q9NZH6
Q53HL2	Q9NQG5
Q86XE3	Q96AQ8
P41247	Q8WTS1
P18077	Q9BVP2
Q14596	Q9NT62
P02652	P07148
O43676	O75251
O00626	O14625
P51172	Q8N668
O00303	P99999
P01730	P55895
Q8IYK2	Q92979
P10109	Q13427
P40937	Q6GPH4
O75478	O75486
L0R8F8	P49406
Q04864	Q8IYS1
Q5SWH9	Q9NUH8
Q96CG3	Q99757
Q8WWY3	Q9Y2D8
Q8TED1	Q9BU79
P38936	Q00987
P04818	Q9UBK8
P61927	Q9NVN8
Q9NYK6	Q9UIL1
O95139	Q99643
O43395	Q9BUQ8
O00303	P55010
Q7Z6M4	Q9BRJ2
Q8WW01	Q8WXK4
P54886	Q8TCW9
Q14566	Q7L590
Q8WXH2	Q96PM5
Q71F23	Q8NCD3
P18084	Q13418
Q8NEJ9	Q9H501
Q9BYD2	Q9H4K7
Q9P1U0	Q9Y2Y1
Q6P1K2	Q8NBT2
O00541	Q17RG1
P03891	Q9BU61
P09132	P62081
O95219	Q15041
P09543	P54803
A2RU49	P30532
Q8IW40	Q8WYR4
O43719	P49756
Q96D46	Q9BVP2
P52815	Q96DV4
O75616	Q9Y3D9
Q86VR2	Q96IV6
P51398	Q9BYD1
P09919	Q6UXL0
O14733	Q8N5C8
P14598	P78325
P62487	Q96HW7
P09601	Q7Z7G2
O43752	Q86Y82
P14920	Q9Y6N5
Q52LC2	Q6P5S7
Q13113	Q969S0
O94817	Q14790
P01588	P33908
Q6NUQ1	Q9H788
Q86VE0	Q96PG8
Q6X4W1	Q7Z699
P63173	Q6DKI1
P35398	Q9UBK2
Q8IUC1	Q9GZM5
P08865	P62273
P30050	P61247
Q92504	Q92506
Q8IYA7	Q9H2S6
P23396	P82933
O95045	Q9H0P0
P14635	Q96GX5
Q13520	Q68G75
Q96CG3	Q96HA8
O14965	O75410
Q9NW64	Q9NZQ3
P12004	P24522
A0A1B0GUV7	P62277
P01579	P48023
P00750	Q99574
Q16739	Q8TDN7
O00175	P55773
Q92665	Q9BYD6
O00180	Q7Z418
O00206	P25963
Q8N983	Q9P0J6
Q8N205	Q969F0
Q16763	Q8NHZ8
Q9NV31	Q9UQ80
P48742	Q9BWW4
O75400	Q8IWZ8
O43318	P45985
O14773	Q13286
O14653	P53618
P46199	Q8TCC3
Q15370	Q99627
Q6ZYL4	Q96RN5
Q9NZQ3	Q9UIG4
Q12933	Q6GPH6
O00566	Q8NEJ9
P38919	Q14331
O96007	Q9GZZ9
O75306	P56181
Q8IY81	Q9NW13
Q6IBW4	Q8N2M4
P05231	Q9Y6Y9
P53602	Q15800
O43542	Q92889
Q7L590	Q9UBU7
P62280	Q9NVS2
Q9BYC8	Q9HA92
P46781	Q8NI36
Q13568	Q7Z434
Q5I7T1	Q9Y673
P47813	P62841
P61927	P62899
O15254	P51659
O95760	Q9H293
O75031	Q6P1J9
O96000	P03886
P46778	Q9BYD1
P62829	Q8N0Z6
Q8N7U6	Q8TC29
Q8TCC3	Q9Y3B7
A8MQ03	Q8WTX9
O00421	P01375
Q8NEF9	Q9ULX3
P31040	Q9NTG7
Q5TA45	Q9H3P2
Q969F1	Q969F1
Q969E8	Q9BXW4
O14653	Q9NYM9
Q6PEX3	Q7Z6I5
O75791	Q9GZY6
Q8N335	Q9HD47
Q92674	Q9H3R5
Q6ZWT7	Q92539
Q86UW9	Q9NYG5
P80217	Q9NZM5
P82930	Q9Y3D9
P41250	Q16520
O95139	O95299
P14416	Q9UBU3
Q99598	Q9Y2V7
O96017	P40692
Q07666	Q96MU7
O14901	P08833
Q6UX40	Q9H6L2
Q96EU7	Q96EU7
P27797	Q02978
P82912	Q9Y4W6
O43741	O95865
P40937	P43246
P01375	P15018
O15259	Q9H6L2
P18621	Q9HBH1
O75394	Q9BYC8
P41208	P41208
P10721	Q9NPH3
P51955	Q9UJX5
P04141	Q9HBE5
O75604	Q96B26
Q15427	Q9Y333
Q13901	Q8N3Z6
Q9H7Z6	Q9NV56
P01579	P08700
P02656	Q9BQE4
O43365	P31260
P11597	Q8WTV0
P62906	Q96A35
Q6P1L8	Q9BYD1
Q7Z7H8	Q9Y399
O95150	P32971
Q9H0W5	Q9H9E1
Q96DI7	Q9BUQ8
Q8NB90	Q8WV93
O75170	O75170
Q86TS9	Q9Y2R9
Q5JVL4	Q96E40
P01033	P22301
Q01658	Q53FD0
P40225	P48061
P61353	Q9BYD1
Q3B726	Q9GZS1
P17535	Q16236
Q8NEC5	Q9BYP8
P54819	P54819
P19235	Q9NSE2
O43513	Q00403
O43674	Q9NX14
Q9UBC1	Q9UBC1
O00198	Q9UMX3
O14862	Q8N884
P03897	P05067
Q8WUA7	Q9H3P7
O14964	Q96HR3
P62266	Q9Y324
P06733	Q9H0I9
P01213	P29371
P62424	Q8NE71
O43561	Q16378
Q92560	Q99728
P62269	Q15029
P05067	P19404
O14957	O95168
O75821	P57772
P55036	Q7L5N1
P25398	P61221
P62750	P62857
O14920	Q04206
Q9H9Q4	Q9UGP5
Q5EBM0	Q96J88
P83731	Q9NX24
P62875	Q5TA45
Q9UK73	Q9Y574
P46087	Q9NQZ2
P62241	P62891
P09564	P20273
Q9NQL9	Q9NQL9
H3BRN8	Q5BN46
Q86Y33	Q9GZZ9
Q14680	Q9NZJ0
P34897	P48735
Q6RFH5	Q96D46
P62750	Q9HA92
P47900	Q9UHA3
Q8N912	Q9H400
Q8NB12	Q9HBE1
P00156	P31040
Q5QP82	Q5QP82
Q15070	Q8TAE8
P43115	Q04864
O95867	Q96EC8
O75593	P10275
Q15051	Q9NZD8
P35268	Q9HB96
P40933	Q9BZS1
Q9BZE1	Q9UI43
P49674	P62277
O95947	Q0VG99
Q92552	Q9NRX2
O75865	Q9Y296
P42766	P62280
O43913	Q9UPZ9
O95445	Q9UHG3
O00762	Q9UBF6
Q86TS9	Q96CB9
Q495A1	Q9Y6W8
O95231	P04637
P04156	Q9BSJ6
P05166	Q8IVS2
Q9H3K2	Q9NWH2
Q5QP82	Q9HB07
O95182	P00414
Q9BTV6	Q9BTV6
P62857	Q15029
Q5T2R2	Q99807
Q8IVS8	Q96H20
O95777	P55769
P08700	P09919
Q15051	Q96RK4
Q9H169	Q9Y228
Q8IWA0	Q9Y2P8
P03372	Q15672
O43556	Q13425
P51580	Q9BY32
Q8NC60	Q9Y399
P20061	P80188
P40227	Q5T6L9
Q96AJ9	Q9H270
P05067	Q13485
P62244	P62851
Q8N427	Q96MC2
Q96CM3	Q9UI43
P61289	Q9NWQ4
Q6UX39	Q8IXL6
P54829	P78383
Q9H1K0	Q9UJ41
Q99675	Q99726
Q9UQ80	Q9Y221
Q9H1D0	Q9Y210
P00414	P99999
P09326	Q12918
Q12962	Q6SJ96
Q8N1B4	Q9NVH1
P82663	Q6P1L8
Q9NQS7	Q9Y266
P23396	Q9UHB9
P37840	Q8WXK3
P41250	Q9HA77
O43818	Q13601
Q8N2R0	Q8N2R0
P05231	P20809
O15235	P36542
Q6UN15	Q9BQA1
O43924	Q9NXU5
Q96BP2	Q9H2W6
A6NK89	Q9BQ89
O43181	O75380
P29692	P62753
Q16774	Q6UWP2
Q01081	Q07666
P57075	Q86VP1
P02741	P16860
P30291	Q99741
P48551	Q8IU57
P52797	Q8N5V2
O95478	Q9NWU5
P19447	Q16514
P59991	P59991
P47914	Q8N0Z6
Q6UXH0	Q9BY76
B9A064	P01880
Q96DZ9	Q9NUH8
Q13322	Q8WXH2
O75379	Q9UID3
Q9UHD9	Q9UIG4
P49411	Q676U5
P21549	Q9UBQ7
P49406	Q9P0P8
P78330	Q8IYQ7
P14174	Q99497
Q9NQC8	Q9Y366
P10809	Q9UBQ0
P53350	Q9BW19
P62316	Q9UBB9
Q12788	Q86WX3
P55072	Q9UNZ2
P19838	Q04206
Q5SXH7	Q6RFH5
P05112	Q6EBC2
P42766	Q9Y3B7
P08311	P49913
O75915	O75915
P62750	P62841
Q13895	Q495M9
O75379	Q5VIR6
P42226	Q15306
P04233	P62273
P60201	Q96TC7
Q9H6L4	Q9UDW3
Q13323	Q16548
Q8NEJ9	Q9UJA5
Q13501	Q14596
Q5QJE6	Q9BRU9
O15160	P49771
O14556	Q9UBQ7
P26368	Q92945
Q14061	Q96I36
P46060	Q09161
Q9BXA5	Q9NUH8
P35219	Q9BPX1
Q6RW13	Q9BQ24
Q8N1B4	Q9UID3
P57081	Q8WWH5
P04844	P61165
Q86X95	Q9HCG8
P55036	Q9Y297
Q15125	Q9Y3D6
Q04837	Q8WVM0
A8MQ03	Q8IZW8
Q00987	Q00987
P05231	Q8IU57
P07438	Q9BYP8
P02545	P55212
Q4LDG9	Q8N427
P09110	P45954
O95299	P53597
P26373	P82912
Q96IW7	Q9UJ71
P23443	Q8TB45
P05161	P80217
P11172	Q96BW1
Q96DI7	Q9UMS4
O00746	Q13064
P45973	P51608
P62913	Q99471
O75344	Q14318
Q13057	Q8N8K9
P56962	Q9H714
P29692	P60866
P40227	Q9Y6E0
P61313	P83731
Q8NHQ9	Q9NY61
O15342	P05090
P41231	Q8WUW1
P19075	P54252
P55212	Q9H0W9
Q14627	Q9GZX6
Q92993	Q9UNA4
P18405	Q5HYJ1
O76021	P50914
Q8TCG5	Q9P0K9
O95231	Q9BZM2
Q14442	Q9Y2B2
P13671	P13671
O15235	Q86TS9
P00480	Q9BSE5
Q86T24	Q8N7C3
P17861	Q9HCU5
P23396	Q96CT7
P20042	P62269
P14416	P21917
P41091	Q496A3
O15354	P34741
O95831	Q9Y3Q8
O75081	P17542
P07686	Q9H347
Q5C9Z4	Q96BK5
P26373	P30050
P01584	P10145
P57775	Q9UGP5
O00574	P32248
O00762	Q9UM13
O00762	Q13042
Q92685	Q96F25
P32780	Q9P086
Q08AM6	Q96LW2
Q14457	Q9HD26
P01375	P01584
Q15269	Q9NY61
Q04727	Q86U70
Q99732	Q99732
P09912	Q96J88
P01106	P55212
Q03154	Q03154
P42677	P61927
P07602	Q13510
A6NEM1	Q63ZY3
Q3SXY8	Q9P0N5
Q08334	Q9GZX6
O15121	Q9HA82
P49674	Q9BUL9
Q9UHR6	Q9UHR6
O15254	P50542
P02686	Q13516
P06753	Q9NZV5
Q9NRJ3	Q9UNE7
Q2TAY7	Q9HCG8
P25791	Q8NFT6
P49411	Q9BYC8
Q13895	Q9UBR4
P51946	Q96RN5
Q86XT4	Q96CN9
P28799	Q9NXC2
Q8TCC3	Q96RP9
P01574	Q9Y4K3
P48775	Q8TBB1
O75947	Q9UI09
P04090	Q14641
P51970	Q8IUX1
P38919	Q9UKM9
Q96T68	Q96T68
O95159	Q9Y282
O95352	Q86TL0
Q14137	Q15061
Q10586	Q9NR55
P09038	P15018
Q5W0B1	Q9UKZ1
C9JDP6	P56746
O14949	P99999
P00491	Q9NPI5
P51398	Q9Y3D9
O43776	P47897
P19438	Q8NAC3
Q7L4E1	Q9P0L0
P11172	Q9Y3E0
Q9C0D0	Q9C0D0
Q14197	Q9Y291
Q96NT0	Q9UI12
Q9BZJ0	Q9Y333
Q15554	Q8NEM0
P37840	P54252
P13639	P13693
P05981	P14210
Q8TEB1	Q8TEB1
O76036	P60568
O43609	Q0VD86
P62304	P62310
P16671	Q96AD5
P04040	P22307
P15036	P50548
Q15024	Q15024
P05112	P10914
P63244	P82675
P56134	Q5TGZ0
O95926	Q8N5F7
O43678	O95168
Q99747	Q9H115
Q6UX40	Q9NP94
O14562	P09919
P00747	P14780
P02818	P02818
O43829	Q86YD7
O75937	P49756
O94817	Q9H1Y0
Q8IUC1	Q8IWX8
O75449	P43304
Q96S44	Q9NPF4
O95297	Q9GZY8
O60331	Q96CW1
Q9NX20	Q9Y4W6
P55081	Q8NHQ1
P82921	Q9Y3D3
O15235	P62280
Q8NFR9	Q9P0M4
Q92551	Q92575
P42696	Q9Y4C8
Q9BXR0	Q9H974
P62753	Q96CT7
Q8TBE3	Q96JW4
O15131	P18754
P10415	P28907
O00628	O96011
Q8N983	Q9P0K9
Q7Z6G3	Q9NX04
Q14137	Q9BVI4
Q9C010	Q9C010
P51116	P61978
Q96IW7	Q96JA4
O75208	Q16795
O15211	Q9H8Y8
P49450	Q53HL2
Q9NTK5	Q9ULC4
O95970	Q14722
P40337	P52739
P20809	Q01344
O15499	Q712K3
Q5TFG8	Q8N5A5
O75419	Q15370
P0CG48	P60006
P09234	Q8IUC3
P18077	Q9NZL4
P82675	Q9Y2Q9
Q96HA9	Q9Y5Y5
Q99614	Q9UHQ9
O75380	Q8N183
P49674	P62244
O00566	O76021
P15248	Q99062
Q9Y2N7	Q9Y2N7
A0A1B0GW35	O00471
O43583	P62263
P06132	Q08752
Q9BYC9	Q9Y2R9
Q7Z699	Q9H0C1
Q9Y6X5	Q9Y6X5
Q6PJW8	Q9HAT0
Q96E40	Q9H5F2
Q9UBI1	Q9UBQ0
P18858	Q9Y253
Q9UPU9	Q9UPU9
Q5JTJ3	Q5JTJ3
P62310	Q9P013
P82933	Q04837
P03372	Q6ZQX7
O15355	P12956
P62308	Q9P013
P04181	P54886
P14373	Q9UBL6
Q5JWF8	Q9NZ32
P13639	P49207
P06400	Q15022
O43561	P43405
Q6P1L8	Q9Y3D9
P20382	Q8N729
P15880	P78371
Q8WW34	Q96BN8
P22676	P43699
O43561	Q9UNS2
Q8TAP6	Q96NC0
P09661	Q8N5F7
P63241	Q04864
O95456	P31948
Q8TDT2	Q9GZY8
Q9UGI9	Q9Y376
P19429	Q9UGJ0
Q15554	Q9H668
P82932	Q9BYD2
Q15398	Q7L590
P49643	Q7L590
O43633	Q99816
P56962	Q9P253
Q4U2R6	Q9BYD6
Q68EN5	Q68EN5
P61421	Q9NQL9
Q07021	Q15139
P51116	Q13895
Q8TAE8	Q9BYD6
O15235	Q9Y3B7
Q6NT76	Q9H7E9
O14561	Q9BYD2
P32969	P62263
Q8WXI3	Q8WXI3
Q8TDD1	Q9H7B2
O43143	Q15428
P55036	Q8IYU4
O95166	Q96A56
P57740	Q9BTX1
Q14D33	Q86U10
P63098	Q8TF05
P41223	Q96NC0
P49419	Q9NTX5
P05198	P82664
O43776	P12081
P01579	Q9GZX6
Q5W5X9	Q9HC52
P28799	P50750
Q9HD26	Q9Y2P0
P28799	Q96FW1
P26367	Q9NRD5
P82675	Q96S96
P01579	P02778
Q4VC12	Q86UW9
P42766	P61011
O43318	Q9NR33
Q494R4	Q7Z6G3
Q9BYC9	Q9BYN8
Q16666	Q9Y4K3
P16871	P40933
P07992	P13010
P14316	P17947
Q06210	Q9H3H5
O60733	Q96QK1
O94829	Q9Y5S9
Q9NRX1	Q9UHA3
P01730	P14780
P21589	Q9BQG2
O95478	P04233
P17027	Q9Y3S2
Q53F19	Q96J01
Q8NC56	Q8WUX9
P46459	Q9BV40
P51948	Q9Y2X0
Q9BWW4	Q9NPJ8
P20042	P46778
O00767	Q96MV1
P55769	P63173
P61011	Q9UKD2
Q13137	Q9H0I2
Q6P161	Q9BYN8
P51608	P51617
Q06210	Q9UJ70
P36542	P61619
Q6P161	Q96CB9
P30679	Q9NS75
O95238	Q5W5X9
Q7L2H7	Q7L2H7
Q02878	Q9NWU5
Q9UNX4	Q9Y324
P02790	Q14624
O75175	P36957
Q9HA82	Q9NXE4
Q04206	Q8IY22
Q5C9Z4	Q8IY81
P23025	P27695
Q96EW2	Q96EW2
P46782	P52815
P42766	Q96RP9
O14893	P62306
Q92552	Q9BQC6
P78367	Q13950
L0R819	Q96MX6
P62906	Q96IZ7
Q13148	Q92562
Q14145	Q9Y3Q8
O00488	P46777
P62750	Q9H7B2
Q9Y3A2	Q9Y5J1
P26367	Q9BW66
P78552	Q8TDR0
P02671	Q9BVM4
O43615	Q9Y512
O75419	Q9BZD4
P57772	P61254
Q8IX15	Q8TBB1
Q9BZE1	Q9Y2R5
O43677	Q9P0J0
Q14241	Q86X02
Q53GS7	Q9NS71
O00757	Q16875
P14635	P33981
B4DS77	Q6PI25
A5D8V6	Q86XT2
P04637	P46777
Q7Z699	Q9UNL4
Q8TCE6	Q8TCE6
A4D1E9	O75616
O00255	Q15291
Q96DZ9	Q96MV1
P00403	P03923
P62826	Q96EE3
P23396	Q6NTE8
Q14749	Q9UN88
O14645	Q6PID6
P46782	Q9UKD2
O15160	O15235
Q6P1K8	Q8N2R8
P21580	Q13568
P17861	P62851
